system:index,District_Name,NDVI,Year,.geo
2_00010000000000001805,Etawah,0.3449992518519691,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001807,Farrukhabad,0.3859322597628927,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001818,Meerut,0.5072952647416813,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001827,Auraiya,0.3463937831404,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001829,Baghpat,0.5164060573237972,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182e,Gautam Buddha Nagar,0.32642794116879276,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001831,Kannauj,0.36225935055237146,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001838,Sant Kabir Nagar,0.36320105329069985,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017f7,Agra,0.29796932802278225,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017fa,Azamgarh,0.383046281860554,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017fc,Ballia,0.3736042298968742,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017fe,Bara Banki,0.3839177989815442,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017ff,Bareilly,0.37807760463677564,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001801,Bijnor,0.45102666938007663,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001804,Etah,0.34189056077121627,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001808,Fatehpur,0.36757370033622927,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001809,Ghaziabad,0.4133410350762896,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000180a,Ghazipur,0.39127338454486543,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000180e,Hardoi,0.35750462047298126,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000180f,Jalaun,0.3013621194820392,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001810,Jaunpur,0.36938777618346313,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001811,Jhansi,0.30891950442733984,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001812,Kanpur,0.3500917729876733,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001813,Lakhimpur Kheri,0.4218998656604877,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001814,Lalitpur,0.3558714807092986,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001815,Lucknow,0.38348224659812624,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001816,Mainpuri,0.34801087516507073,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001819,Mirzapur,0.3434859236524724,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181b,Muzaffarnagar,0.541890565977341,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181c,Pilibhit,0.41669379273844864,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181d,Pratapgarh,0.36487093914546087,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181e,Rae Bareli,0.3662282468691707,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181f,Rampur,0.37479383634232255,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001820,Saharanpur,0.486336945907936,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001821,Shahjahanpur,0.35739862901962455,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001822,Sitapur,0.4074277630802056,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001823,Sultanpur,0.3775495455133489,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001824,Unnao,0.36665616867776807,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001828,Badaun,0.36251235354485595,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182d,Firozabad,0.3001237746495388,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001832,Kanpur Dehat,0.34682256156584124,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001837,Mau,0.3868863483823515,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000183b,Siddharth Nagar,0.3257253796056845,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000183c,Sonbhadra,0.36077626140308344,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000180c,Gorakhpur,0.3116398460956097,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001835,Maharajganj,0.3765404565890634,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001803,Deoria,0.3104562877258149,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001834,Kushinagar,0.3625191987523674,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000180d,Hamirpur,0.3616394746908387,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001836,Mahoba,0.3119999195600675,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000017fb,Bahraich,0.3995389712182723,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001806,Faizabad,0.4107036542355252,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001826,Ambedkar Nagar,0.4032558635431197,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001839,Sant Ravi Das Nagar,0.355879063669543,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000183a,Shravasti,0.41203884404446156,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000017f8,Aligarh,0.41309344967002315,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000017f9,Allahabad,0.3985363451751005,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000017fd,Banda,0.3854697158252807,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000180b,Gonda,0.39843697863552135,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001817,Mathura,0.38393082813623236,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000181a,Moradabad,0.44920467070147674,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001825,Varanasi,0.3128425389144947,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000182a,Balrampur,0.43472236351062293,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000182b,Chandauli,0.37444931356449135,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000182c,Chitrakoot,0.39926191358680024,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000182f,Hathras,0.42783984668466907,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001830,Jyotiba Phule Nagar,0.4596756476555434,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001833,Kaushambi,0.42469488978297987,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001800,Basti,0.3921330381111095,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001802,Bulandshahr,0.42720176011331396,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001805,Etawah,0.44474871889281936,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001807,Farrukhabad,0.43075643110194445,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001818,Meerut,0.4804215583145853,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
