District_Name,Year,Yield
Gonda,2022,2.91399982028472
Gonda,2023,2.981001715847779
Gonda,2024,2.5929995483579584
Gorakhpur,2015,2.1919994450728875
Gorakhpur,2016,2.5250021703272854
Gorakhpur,2017,2.748600238963989
Gorakhpur,2018,2.7208088680307068
Gorakhpur,2019,2.6495235477852765
Gorakhpur,2020,2.9267456391838107
Gorakhpur,2021,3.0610006455094765
Gorakhpur,2022,3.1140024913407514
Gorakhpur,2023,3.247012391294079
Gorakhpur,2024,1.7419985597670398
Hamirpur,2015,2.3320652464093117
Hamirpur,2016,2.0435884685821013
Hamirpur,2017,1.8559492083398652
Hamirpur,2018,2.4716809139893856
Hamirpur,2019,2.5231134824911448
Hamirpur,2020,2.6721225529773203
Hamirpur,2021,2.9063405777286797
Hamirpur,2022,2.8484893953168164
Hamirpur,2023,2.682901200750806
Hamirpur,2024,1.5176344977896215
Hapur,2022,4.7589989008976
Hapur,2023,4.650004715646515
Hapur,2024,3.063992637816484
Hardoi,2015,2.6640011447434975
Hardoi,2016,2.999990250750692
Hardoi,2017,2.984998901964837
Hardoi,2018,3.096978288351314
Hardoi,2019,3.084993512522797
Hardoi,2020,3.335508317118488
Hardoi,2021,3.5864395720327225
Hardoi,2022,3.178487747730157
Hardoi,2023,3.5530568447115973
Hardoi,2024,2.205000705101872
Hathras,2015,3.1270043642426324
Hathras,2016,2.790000585445817
Hathras,2017,3.0750036321371494
Hathras,2018,2.9109938908568203
Hathras,2019,2.778999520910504
Hathras,2020,3.030998379658482
Hathras,2021,3.361000982488586
Hathras,2022,3.5859986987638255
Hathras,2023,3.898999078596943
Hathras,2024,2.3369980763143157
Jalaun,2015,3.0744309027060526
Jalaun,2016,2.8161635932831977
Jalaun,2017,1.6855536915986966
Jalaun,2018,3.1567713708630656
Jalaun,2019,2.7954010337573316
Jalaun,2020,3.1958468603713865
Jalaun,2021,3.360087012228175
Jalaun,2022,3.211716171617162
Jalaun,2023,2.9795661657455605
Jalaun,2024,1.3295020145044318
Jaunpur,2015,2.384001464606301
Jaunpur,2016,2.683002006578267
Jaunpur,2017,2.647002081535259
Jaunpur,2018,2.859000509943906
Jaunpur,2019,2.721001966978602
Jaunpur,2020,2.8529999423642196
Jaunpur,2021,3.1832890911389207
Jaunpur,2022,3.1129991019372496
Jaunpur,2023,2.8619980918114027
Jaunpur,2024,1.9360022917711093
Jhansi,2015,2.073676077547127
Jhansi,2016,2.0809850103270073
Jhansi,2017,1.896062882995258
Jhansi,2018,2.721690208283457
Jhansi,2019,2.4779107742671185
Jhansi,2020,2.698650811478632
Jhansi,2021,3.128604395850604
Jhansi,2022,2.7838376331755192
